id,username,date,time,place,tweet,hashtags
1382118802419195906,dlifethamma,2021-04-14,06:49:35,,๑๔ เมษายน วันครอบครัว,"['สงกรานต์64', 'โควิด', 'วัคซีนโควิด19', 'covid19', 'ขอคนละชื่อรื้อระบอบประยุทธ์', 'รัฐบาลส้นตีนคนเชียร์ก็ส้นตีน', 'มกปฟก', 'ม33เรารักกัน', 'เราชนะ', 'โควิด19วันนี้', 'ศักดิ์สยาม', 'โควิดทองหล่อ', 'มีล่า', 'thailand']"
1382071833617309699,onchorb,2021-04-14,03:42:57,,ควรมีรถตรวจโควิดทั่ว กทม ได้แล้วนะ นี่ปีกว่าแล้วไม่เห็นความพร้อมในการตรวจเชิงรุกที่ดีขึ้นเลย ต้นปี เป็นไง ต้นปี ก็ไม่ต่างกัน,"['โควิด', 'โควิดเชียงใหม่', 'โควิดทองหล่อ', 'โควิด19', 'โควิด19วันนี้']"
1382029822390509568,jrstkk,2021-04-14,00:56:01,,รบกวนช่วยทำแบบสอบถามหน่อยนะคะ,"['covid_19', 'โควิด', 'โควิดวันนี้', 'โควิท19', 'bangkok', 'โควิดกรุงเทพ', 'โควิดเชียงใหม่', 'โควิดระลอก3', 'โควิดกรุงเทพ', 'สงกรานต์64', 'ศักดิ์สยาม', 'thailand', 'โควิด', 'กสพท64', 'โควิด19วันนี้']"
1382025013419659273,kririkriri,2021-04-14,00:36:54,,ความเลวทรามของวัคซีน .กะเอาหน้าก็พลาดละ เพราะดันมี แค่ ตัวที่ประโยชน์น้อยมากแถมเสี่ยง .กะเอาเงินตายละการผลิตไม่คืบหน้าใดใด ตอนนี้เหมือนจะเต้นช้ายขวา เอาหน้ารอดไปพลางๆหามาทีละ แสน สองแสนโดส .ดึงเวลาให้ช้าระบาดหนักกลัวกันทั้งประเทศ ม๊อบจะหายไปเอง,"['โควิดทองหล่อ', 'โควิด19วันนี้']"
1382023044068114434,netchanokc63,2021-04-14,00:29:05,,วันนี้จามเเล้วหนึ่ง ถามตัวเองทุกวัน ..เป็นหรือยัง ..ติดหรือยัง,"['โควิด', 'โควิด19วันนี้', 'โควิด19', 'covid19', 'covid_19', 'covid']"
1382021938495688704,jardiary,2021-04-14,00:24:41,,โควิทมันทำให้เห็นชัดเรื่องคนเอาตัวรอดเก่ง แม้จะติดเชื้อแล้วก็ยังตะเกียกตะกายเอาตัวรอด โดยไม่สนใจส่วนรวม โลกโคตรโหดร้ายที่มีคนแบบนี้ ในอีกมุมคนเสียสละก็เสียสละอยู่นั่นล่ะ,['โควิด19วันนี้']
1382011553042423811,kririkriri,2021-04-13,23:43:25,,เป็น ห่วง รมว. ที่ติดโควิดจาก น้องๆในทีมงานหน้าห้อง อาการเป็นงัยนะ ไม่เห็น เซลฟี่ มาวันละ น้องๆ ในคลับ อาจจะเป็นห่วงนะคะ ยังอยู่ดีมีสุขไหม หลังจากระบาดรอบรอบนี้ กระจายทั้งแผ่นดินโควิดไฮโซ ทำคนไทยจนทั้ง แผ่นดินเดือดร้อนทุกหย่อมหญ้าห่วยแตกสุด,"['โควิด19วันนี้', 'โควิดทองหล่อ', 'โควิด19']"
1382007692177203201,jmejao7qea3n9ph,2021-04-13,23:28:04,,#โคโควิด ทวิตภพวิจารณ์สนั่น ทหารพรานฉีดน้ำยาฆ่าเชื้อชายแดน,"['โคโควิด', 'โควิด19', 'โควิด19วันนี้', 'ทหารมีไว้ทำไมวิด19']"
1382002502409678852,matichontv,2021-04-13,23:07:27,,โควิด ทวิตภพวิจารณ์สนั่น ทหารพรานฉีดน้ำยาฆ่าเชื้อชายแดน,"['โควิด19', 'โควิด19วันนี้', 'ทหารมีไว้ทำไม']"
1381989170571145217,rose_queenrosie,2021-04-13,22:14:29,,#หน้ากากอนามัยพร้อมส่ง ค่าส่งเริ่มต้น ฿ ส่งของทุกวันไม่หยุดทุกเทศกาล,"['หน้ากากอนามัยพร้อมส่ง', 'หน้ากากอนามัย', 'หน้ากากอนามัยราคาถูก', 'หน้ากากอนามัยทางการแพทย์', 'แมสพร้อมส่ง', 'แมส', 'โควิดวันนี้', 'โควิด19', 'โควิด', 'covid19', 'เราชนะออนไลน์', 'เราชนะ', 'โควิดกรุงเทพ', 'โควิด19เชียงใหม่', 'โควิดหัวหิน', 'โควิด19วันนี้']"
1381967614017081357,hasaddd,2021-04-13,20:48:49,,ตอนเราเจอโควิด เพื่อนบ้านปิดประตูไม่ต้อนรับเรา เราเร่งสร้าง รพ.สนาม โชคดีแค่ไหน ที่เสร็จทัน ตอนเพื่อนบ้านเจอโควิด เราเปิดประตูต้อนรับ โดยไม่มีข้อแม้ ทั้งที่เราควรเก็บพื้นที่ไว้รักษาคนในจังหวัด,"['โควิด', 'โควิด19', 'โควิด19วันนี้', 'โควิดวันนี้', 'โควิดทองหล่อ', 'โควิดกรุงเทพ']"
1381960943630905344,zihao_p,2021-04-13,20:22:19,,พ่นยาฆ่าเชื้อ ป้องกัน,"['โควิด19', 'โควิด19วันนี้']"
1381960423797260290,thomas007mai,2021-04-13,20:20:15,,ลงไว้ก่อน ลำปางวันนี้ติดเชื้อ ราย รวมติดเชื้อที่ระบาดรอบนี้ ราย,"['savelampang', 'โควิด19', 'โควิด19วันนี้', 'โควิดลำปาง']"
1381957955759661063,natthakorn31,2021-04-13,20:10:26,,นิสิต และบุคลากรมหาวิทยาลัยเกษตรศาสตร์ ติดเชื้อไวรัสโคโรนา ณ วันที่ เมษายน อีกจำนวน ราย ตามประกาศแจ้ง และแจ้งเตือนให้ผู้เกี่ยวข้องเฝ้าระวังการแพร่ระบาด,"['ทีมมก', 'โควิด19วันนี้', 'โควิด19', 'covid19', 'เกษตรศาสตร์']"
1381957857160036354,ccardzz,2021-04-13,20:10:03,,แต่ก็ต้องมาพังลงอีกรอบกับโควิทอีกหรอ ถามจริงงงงงง ไม่ไหวแล้ววววว,['โควิด19วันนี้']
1381956957544706056,sawasdeekala,2021-04-13,20:06:28,,#รัฐบาลส้นตีนคนเชียร์ก็ส้นตีน,"['รัฐบาลส้นตีนคนเชียร์ก็ส้นตีน', 'วันสงกรานต์', 'โควิด19วันนี้', 'ถ้าการเมืองดี']"
1381955936995008519,bbbblbblbl,2021-04-13,20:02:25,,หากสนใจสามารถแอดไลน์หรือ มาสอบถามรายละเอียดได้เลยน้าา,"['รีวิวnetflix', 'รีวิวเชียงใหม่', 'รีวิวเซเว่น', 'ส่งต่อเสื้อผ้า', 'ส่งต่อเสื้อผ้ามือสอง', 'สงกรานต์สาดน้ํากันต์', 'ปีใหม่ไทย', 'เชียงใหม่', 'โควิด19วันนี้', 'มิวกลัฟไลฟ์หน่อยหวานใจคิดถึง']"
1381955576498769926,sodajandacha,2021-04-13,20:00:59,,โควิดรอบแรก คนละครึ่ง รอบสองเราชนะ รอบนี้คงมรณะ แล้วครับ,"['โควิด19', 'covid19', 'covid_19', 'โควิด19วันนี้', 'คําคมโดนใจ', 'สู้โควิดด้วยกัน', 'สงกรานต์สาดน้ํากันต์', 'สงกรานต์64', 'เทศกาลสงกรานต์']"
1381954162871558144,sjismypassion,2021-04-13,19:55:22,,เพื่อนมช. ฝากมาค่ะ ช่วยคนละนิด ก็ยังดีค่ะ,"['โควิด19', 'โควิด19วันนี้']"
1381947831758450690,dlifethamma,2021-04-13,19:30:13,,คนที่สนใจเท่านั้นที่จะอ่าน,"['สงกรานต์64', 'โควิด', 'วัคซีนโควิด19', 'covid19', 'ขอคนละชื่อรื้อระบอบประยุทธ์', 'รัฐบาลส้นตีนคนเชียร์ก็ส้นตีน', 'มกปฟก', 'ม33เรารักกัน', 'เราชนะ', 'โควิด19วันนี้', 'ศักดิ์สยาม', 'โควิดทองหล่อ']"
1381938784846053376,peony_tw,2021-04-13,18:54:16,,ที่คอนโดชั้นติดโควิดรายแล้วนะคะ จากอิเคสทองหล่อนี่เเหละ เท่าที่ได้รับเเจ้งคือราย แต่ไม่เเน่ใจว่าจะงอกเพิ่มมาอีกมั้ยนะ,['โควิด19วันนี้']
1381930158513213443,amaratjeab,2021-04-13,18:19:59,,คิดได้ไงใช้งบไปฉีดพ่นยาฆ่าเชื้อปูพรมตามก้อนหินก้อนดินในพื้นที่ชายแดนโล่งแจ้ง,"['ภาษีกู', 'โควิด19วันนี้', 'รัฐบาลเฮงซวย']"
