id,username,date,time,place,tweet,hashtags,tag
1366010267763494913,brighttodayth,2021-02-28,20:00:01,,วัคซีนโควิด เตรียมฉีดโรงพยาบาล แห่ง จ.สมุทรสาคร พร้อมขั้นตอนฉีด,"['วัคซีนโควิด', 'โรงพยาบาล', 'สมุทรสาคร', 'โควิดสมุทรสาคร', 'โควิด19', 'โควิด']",pos
1365917511925960715,ernewsroom,2021-02-28,13:51:27,,ความในใจอนุทินถึงผู้ว่าฯสมุทรสาครหลังเอาวัคซีนโควิดมาส่ง กับคำมั่นสัญญาถ้าพี่หายดี,"['คมชัดลึก', 'โควิด19', 'โควิดสมุทรสาคร', 'วัคซีนโควิด', 'twitterthailand']",pos
1365908804806709251,hfocusnews,2021-02-28,13:16:51,,สมุทรสาคร เริ่มฉีดวัคซีนโควิด บุคลากรทางการแพทย์ อสม.,"['hfocus', 'โควิด19', 'วัคซีนโควิด19', 'โควิดสมุทรสาคร']",pos
1365897670640893952,samutsakhon_skn,2021-02-28,12:32:36,,นายธีรพัฒน์ คัชมาตย์ รักษาราชการแทนผู้ว่าฯสมุทรสาคร ประเดิมฉีดเป็นคนแรกของจังหวัดสมุทรสาคร,"['โควิด', 'โควิด19', 'โควิดสมุทรสาคร', 'มหาชัย', 'สมุทรสาคร', 'วัคซีนโควิด19', 'วัคซีน']",pos
1365890755852570625,samutsakhon_skn,2021-02-28,12:05:07,,สถานการณ์โควิด ของจังหวัดสมุทรสาคร . กุมภาพันธ์ . เราจะผ่านมันไปด้วยกัน .,"['โควิด', 'โควิด19', 'โควิดสมุทรสาคร', 'โควิดวันนี้', 'มหาชัย', 'โควิดเราต้องรอด', 'เราชนะ', 'ไทยชนะ', 'หมอชนะ', 'สมุทรสาคร', 'covid19', 'ผู้ว่าฯสมุทรสาคร', 'เมียนมา', 'พม่า', 'เชิงรุก', 'วัคซีนโควิด19']",pos
1365867714133118977,pph8ufhm9cwev4o,2021-02-28,10:33:34,,เราชนะ แห่ลงทะเบียนกลุ่มไร้สมาร์ทโฟน พุ่งไม่หยุด แตะ . ล้านคนแล้ว,"['โควิด19', 'กาละแมร์', 'ดีเจมะตูมติดโควิด', 'ลุงพลป้าแต๋น', 'covid_19', 'โควิดสมุทรสาคร', 'เราชนะ', 'โควิดสมุทรปราการ', 'โควิดกรุงเทพ', 'สถานการณ์ควิดวันนี้', 'โควิดวันนี้', 'สมองลายพราง']",pos
1365867400273354760,pph8ufhm9cwev4o,2021-02-28,10:32:19,,สมุทรสาคร ฉีดวัคซีนโควิดชุดแรกวันนี้ คน,"['โควิด19', 'กาละแมร์', 'ดีเจมะตูมติดโควิด', 'ลุงพลป้าแต๋น', 'covid_19', 'โควิดสมุทรสาคร', 'เราชนะ', 'โควิดสมุทรปราการ', 'โควิดกรุงเทพ', 'สถานการณ์ควิดวันนี้', 'โควิดวันนี้', 'สมองลายพราง']",pos
1365867107653537792,pph8ufhm9cwev4o,2021-02-28,10:31:09,,โพลเผยคนพอใจ ลดค่าน้ำไฟ คนละครึ่ง เยียวยาโควิดมากสุด ติงเงื่อนไขมากเกิน,"['ข่าวการเมือง', 'มาตรการเยียวยาโควิด', 'เยียวยาโควิด', 'โควิด19', 'กาละแมร์', 'ดีเจมะตูมติดโควิด', 'ลุงพลป้าแต๋น', 'covid_19', 'โควิดสมุทรสาคร', 'เราชนะ', 'โควิดกรุงเทพ', 'สถานการณ์ควิดวันนี้', 'โควิดวันนี้', 'สมองลายพราง']",pos
1365866819081277442,ernewsroom,2021-02-28,10:30:00,,สมุทรสาคร ประกาศด่วนที่สุดปิดสถานศึกษาต่อไป หลังพบนักเรียนกลุ่มนักกีฬาฟุตซอลติดโควิด,"['คมชัดลึก', 'โควิดวันนี้', 'โควิด19', 'โควิดสมุทรสาคร', 'twitterthailand']",neg
1365866768867057667,pph8ufhm9cwev4o,2021-02-28,10:29:48,,บิ๊กตู่ ฉีดวัคซีนแอสตราเซเนกาล็อตแรกกลางมี.ค.นี้,"['ประยุทธ์', 'วัคซีนโควิด', 'ข่าววัคซีนโควิด', 'โควิด19', 'กาละแมร์', 'ดีเจมะตูมติดโควิด', 'ลุงพลป้าแต๋น', 'covid_19', 'โควิดสมุทรสาคร', 'เราชนะ', 'โควิดสมุทรปราการ', 'โควิดกรุงเทพ', 'สถานการณ์ควิดวันนี้', 'โควิดวันนี้', 'สมองลายพราง']",pos
