ID,Positive,Negative,Tweet
1365078715894427651,,,สะพรึง คนขับแกร็บแท็กซี่ติดโควิด เร่งตามตัวผู้โดยสาร เที่ยว สยามรัฐ
1364916251139600391,,"สะพรึง, ติดโควิด, เร่งตามหา",สะพรึง คนขับแท็กซี่จองผ่านแอพฯติดโควิด เร่งตามหาผู้โดยสาร เที่ยว &;
1364876488571428865,,หวั่น,กทม. ยังคงมีรายงานคนติดโควิด ล่าสุด หวั่นกลุ่มนักฟุตซอลเป็นคลัสเตอร์ใหม่ หลังพบเพิ่ม ราย
1364817994740731912,,มันไม่ใช่,แต่มาวันนี้สังเกตอีกทุกคนทุกจุดตรวจขึ้น.หมดเลย มันไม่ใช่แล้วแหละ ถ้าอย่างงี้เราสามารถบอกให้กรมควบคุมโรคมาตรวจสอบสอบเครื่องว่าได้มาตราฐานได้บ้างไหมคะหรือว่าเขาเซ็ทค่าไว้
1364817985832054784,,,หลายสัปดาห์มานี้ได้มาตลาดที่นึงหลายรอบละคือสังเกตมาตลอดคือเครื่องตรวจจับอุณหภูมิคือทุกเครื่องตรวจขึ้น.ทุกคน เราเคยครั้งนึงถามคนที่นั่งตรงโต๊ะเขาบอกว่า เครื่องแบตจะหมดมันก็เลยเลขนี้ตลอด ไม่เป็นไรหรอก เราคือแบบเอ๊ะในใจ
1364144591922814978,"คลายล็อก, เฮลั่น",,เช็คด่วนที่นี่ กทม.ประกาศคลายล็อก สถานที่อาบอบนวดเฮลั่นเปิดได้แล้ว
1364143920582586370,เปิดได้,ห้ามเต้น,โฆษก กทม. แถลงผลการประชุมคณะกรรมการโรคติดต่อ คลายล็อก มีผลวันนี้ ร้านอาหารสามารถนั่งดื่มสุรา สถานบันเทิงดนตรีสด ผับ บาร์ สถานบริการ อาบอบนวด เปิดได้ ห้ามเต้น ต้องเว้นระยะห่างให้บริการเฉพาะโต๊ะนั่ง
1364113571483766785,เปิดโครงการ,,ผู้ว่าฯกทม. เปิดโครงการบริการสุขภาพวิถีใหม่ กับ บริการใหม่ป้องกันโควิด ทั้งบริการเจาะเลือดถึงบ้าน บริการรักษาทางไกลผ่านระบบโทรเวชกรรม บริการรับยาที่ร้านยาใกล้บ้านหรือทางไปรษณีย์ เริ่มต้นที่รพ.ในสังกัด แห่ง
1364098952769855488,เปิดสถานบันเทิง,,กทม.คลายล็อกวันนี้ ผู้ว่าฯอัศวิน เตรียมออกประกาศ เปิดสถานบันเทิง เล่นดนตรีสด นั่งดื่มสุราได้
1363667686639554560,,,อัพเดต เขตพื้นที่เสี่ยงโควิด สแกน รง.เจอติด สยามรัฐ
1363469373483155456,,,เปิด อันดับเขตกทม.ติดเชื้อโควิดสูงสุด สยามรัฐ
1363048297015877632,,ติดเชื้อโควิด,เช็กด่วน ขสมก.เปิดไทม์ไลน์พนักงานขับรถโดยสารปรับอากาศ สาย ติดเชื้อโควิด
1362717555543085058,,พบผู้ติดเชื้อ,กรุงเทพมหานคร เผยผลตรวจ โควิด เชิงรุก ในพื้นที่เสี่ยง เขต โรงงาน พบผู้ติดเชื้อ คน จากแรงงานที่ผ่านการตรวจฯ รวม คน
1362677630307209221,,"เป็นเหตุแพร่เชื้อ,  น้อมรับความผิด",#ดีเจมะตูม เข้ารับทราบข้อหา ฝ่าฝืนพ.ร.ก.ฉุกเฉิน หลังจัดงานปาร์ตี้วันเกิด จนเป็นเหตุแพร่เชื้อโควิด เจ้าตัวขอโทษ น้อมรับความผิดและคำตัดสิน ยืนยันผลตรวจโควิด ครั้งเป็นลบ
1361648442980716544,"ข่าวดี, เปิดร้านเหล้า",,รอข่าวดีนะครับ อิอิอิ เรื่องเปิดร้านเหล้าและสนามกีฬาในกรุงเทพ
1361640780360675331,"คลายล็อก, กทม.เฮ, เฮ",,คลายล็อก นั่งดื่ม เปิดบริการ ชุดเล็กชงศบค.ใหญ่ กทม.เฮ วันนี้เป็น ซีลตลาดเขตติดปทุมฯเสี่ยงโควิดลาม
1361628300397871104,,ติดเชื้อ,โควิดกทม.ผู้ติดเชื้อวันนี้เป็น
1361518092145160193,ควบคุมได้,,กทม. ชี้คลัสเตอร์ จุฬาฯ พบผู้ติดเชื้อ โควิด รวม ราย ชี้สถานการณ์โดยรวมยังควบคุมได้ พร้อมเผยต้นเหตุการระบาดมาจากเครื่องสแกนนิ้วมือรปภ.
1361490997629231106,,ติดโควิด,ด่วน พบนักศึกษาแพทย์ ม.ธรรมศาสตร์ รังสิต ติดโควิด
1361479471350484993,,ผู้ป่วยโควิด,เช็กด่วน ไทม์ไลน์ผู้ป่วยโควิดกทม. ราย ล่าสุด พนักงานบริษัทแม่ค้าพนักงานโรงงาน พบประวัตินั่งเดินแถวสยามรับของที่ตลาดสี่มุมเมืองมาขาย
1361317385177767936,ยังควบคุมได้,,กรุงเทพมหานคร กทม. สรุป คลัสเตอร์ จุฬาฯ พบผู้ติดเชื้อ โควิด รวม ราย ชี้สถานการณ์โดยรวมยังควบคุมได้
1361140675102736385,,ไม่สามารถ,เปิดไทม์ไลน์โควิด กทม.ที่สอบสวนโรคแล้วเพิ่ม ราย มีคลัสเตอร์จุฬาฯ รายและบุคลากรทางการแพทย์ที่ยังไม่สามารถระบุหาสาเหตุได้อีก ราย
